model_type,id,score
LogisticRegressionRFE,LG-80-2,0.4722222222222222
LogisticRegressionRFE,LG-81-2,0.4722222222222222
LogisticRegressionRFE,LG-82-2,0.4722222222222222
LogisticRegressionRFE,LG-83-2,0.4722222222222222
LogisticRegressionRFE,LG-84-2,0.5
LogisticRegressionRFE,LG-85-2,0.4722222222222222
LogisticRegressionRFE,LG-86-2,0.4722222222222222
LogisticRegressionRFE,LG-87-2,0.5277777777777778
LogisticRegressionRFE,LG-88-2,0.5416666666666666
LogisticRegressionRFE,LG-89-2,0.5416666666666666
LogisticRegressionRFE,LG-90-2,0.5416666666666666
LogisticRegressionRFE,LG-91-2,0.5416666666666666
LogisticRegressionRFE,LG-92-2,0.5
LogisticRegressionRFE,LG-93-2,0.5
LogisticRegressionRFE,LG-94-2,0.5
LogisticRegressionRFE,LG-95-2,0.4722222222222222
LogisticRegressionRFE,LG-96-2,0.4305555555555556
LogisticRegressionRFE,LG-97-2,0.4722222222222222
LogisticRegressionRFE,LG-98-2,0.4305555555555556
LogisticRegressionRFE,LG-99-2,0.4305555555555556
LogisticRegressionRFE,LG-100-2,0.4305555555555556
LogisticRegressionRFE,LG-101-2,0.4305555555555556
LogisticRegressionRFE,LG-102-2,0.4305555555555556
LogisticRegressionRFE,LG-103-2,0.4305555555555556
LogisticRegressionRFE,LG-104-2,0.4305555555555556
LogisticRegressionRFE,LG-105-2,0.4305555555555556
LogisticRegressionRFE,LG-106-2,0.4305555555555556
LogisticRegressionRFE,LG-107-2,0.4305555555555556
LogisticRegressionRFE,LG-108-2,0.4305555555555556
LogisticRegressionRFE,LG-109-2,0.40277777777777773
LogisticRegressionRFE,LG-110-2,0.40277777777777773
LogisticRegressionRFE,LG-111-2,0.40277777777777773
LogisticRegressionRFE,LG-112-2,0.4305555555555556
LogisticRegressionRFE,LG-113-2,0.5
LogisticRegressionRFE,LG-114-2,0.4305555555555556
LogisticRegressionRFE,LG-115-2,0.45833333333333337
LogisticRegressionRFE,LG-116-2,0.4305555555555556
LogisticRegressionRFE,LG-117-2,0.5277777777777778
LogisticRegressionRFE,LG-118-2,0.5277777777777778
LogisticRegressionRFE,LG-119-2,0.5277777777777778
LogisticRegressionRFE,LG-120-2,0.5277777777777778
LogisticRegressionRFE,LG-121-2,0.5277777777777778
LogisticRegressionRFE,LG-122-2,0.5277777777777778
LogisticRegressionRFE,LG-123-2,0.5277777777777778
LogisticRegressionRFE,LG-124-2,0.5277777777777778
LogisticRegressionRFE,LG-125-2,0.5694444444444444
LogisticRegressionRFE,LG-126-2,0.5277777777777778
LogisticRegressionRFE,LG-127-2,0.48611111111111116
LogisticRegressionRFE,LG-128-2,0.48611111111111116
LogisticRegressionRFE,LG-129-2,0.48611111111111116
LogisticRegressionRFE,LG-130-2,0.48611111111111116
LogisticRegressionRFE,LG-131-2,0.48611111111111116
LogisticRegressionRFE,LG-132-2,0.48611111111111116
LogisticRegressionRFE,LG-133-2,0.48611111111111116
LogisticRegressionRFE,LG-134-2,0.5277777777777778
LogisticRegressionRFE,LG-135-2,0.5277777777777778
LogisticRegressionRFE,LG-136-2,0.5277777777777778
LogisticRegressionRFE,LG-137-2,0.5277777777777778
