model_id,param,value
SVM-180,gamma,scale
SVM-180,kernel,sigmoid
SVM-181,C,3
SVM-181,class_weight,
SVM-181,gamma,auto
SVM-181,kernel,rbf
SVM-182,C,3
SVM-182,class_weight,
SVM-182,gamma,auto
SVM-182,kernel,sigmoid
SVM-183,C,3
SVM-183,class_weight,balanced
SVM-183,gamma,scale
SVM-183,kernel,rbf
SVM-184,C,3
SVM-184,class_weight,balanced
SVM-184,gamma,scale
SVM-184,kernel,sigmoid
SVM-185,C,3
SVM-185,class_weight,balanced
SVM-185,gamma,auto
SVM-185,kernel,rbf
SVM-186,C,3
SVM-186,class_weight,balanced
SVM-186,gamma,auto
SVM-186,kernel,sigmoid
SVM-187,C,10
SVM-187,class_weight,
SVM-187,gamma,scale
SVM-187,kernel,rbf
SVM-188,C,10
SVM-188,class_weight,
SVM-188,gamma,scale
SVM-188,kernel,sigmoid
SVM-189,C,10
SVM-189,class_weight,
SVM-189,gamma,auto
SVM-189,kernel,rbf
SVM-190,C,10
SVM-190,class_weight,
SVM-190,gamma,auto
SVM-190,kernel,sigmoid
SVM-191,C,10
SVM-191,class_weight,balanced
SVM-191,gamma,scale
SVM-191,kernel,rbf
SVM-192,C,10
SVM-192,class_weight,balanced
SVM-192,gamma,scale
SVM-192,kernel,sigmoid
SVM-193,C,10
SVM-193,class_weight,balanced
SVM-193,gamma,auto
SVM-193,kernel,rbf
SVM-194,C,10
SVM-194,class_weight,balanced
SVM-194,gamma,auto
SVM-194,kernel,sigmoid
SVM-195,C,30
SVM-195,class_weight,
SVM-195,gamma,scale
SVM-195,kernel,rbf
SVM-196,C,30
SVM-196,class_weight,
SVM-196,gamma,scale
SVM-196,kernel,sigmoid
SVM-197,C,30
SVM-197,class_weight,
SVM-197,gamma,auto
SVM-197,kernel,rbf
SVM-198,C,30
SVM-198,class_weight,
SVM-198,gamma,auto
SVM-198,kernel,sigmoid
SVM-199,C,30
SVM-199,class_weight,balanced
SVM-199,gamma,scale
SVM-199,kernel,rbf
SVM-200,C,30
SVM-200,class_weight,balanced
SVM-200,gamma,scale
SVM-200,kernel,sigmoid
SVM-201,C,30
SVM-201,class_weight,balanced
SVM-201,gamma,auto
SVM-201,kernel,rbf
SVM-202,C,30
SVM-202,class_weight,balanced
SVM-202,gamma,auto
SVM-202,kernel,sigmoid
SVM-203,C,100
SVM-203,class_weight,
SVM-203,gamma,scale
SVM-203,kernel,rbf
SVM-204,C,100
SVM-204,class_weight,
SVM-204,gamma,scale
SVM-204,kernel,sigmoid
SVM-205,C,100
SVM-205,class_weight,
SVM-205,gamma,auto
SVM-205,kernel,rbf
SVM-206,C,100
SVM-206,class_weight,
SVM-206,gamma,auto
SVM-206,kernel,sigmoid
SVM-207,C,100
SVM-207,class_weight,balanced
SVM-207,gamma,scale
SVM-207,kernel,rbf
SVM-208,C,100
SVM-208,class_weight,balanced
SVM-208,gamma,scale
SVM-208,kernel,sigmoid
SVM-209,C,100
SVM-209,class_weight,balanced
SVM-209,gamma,auto
SVM-209,kernel,rbf
SVM-210,C,100
SVM-210,class_weight,balanced
SVM-210,gamma,auto
SVM-210,kernel,sigmoid
SVM-211,C,0.001
SVM-211,class_weight,
SVM-211,degree,2
SVM-211,gamma,scale
SVM-211,kernel,poly
SVM-212,C,0.001
SVM-212,class_weight,
SVM-212,degree,2
SVM-212,gamma,auto
SVM-212,kernel,poly
SVM-213,C,0.001
SVM-213,class_weight,
SVM-213,degree,3
SVM-213,gamma,scale
SVM-213,kernel,poly
SVM-214,C,0.001
SVM-214,class_weight,
SVM-214,degree,3
SVM-214,gamma,auto
SVM-214,kernel,poly
SVM-215,C,0.001
SVM-215,class_weight,
SVM-215,degree,4
SVM-215,gamma,scale
SVM-215,kernel,poly
SVM-216,C,0.001
SVM-216,class_weight,
SVM-216,degree,4
SVM-216,gamma,auto
SVM-216,kernel,poly
SVM-217,C,0.001
SVM-217,class_weight,balanced
SVM-217,degree,2
SVM-217,gamma,scale
SVM-217,kernel,poly
SVM-218,C,0.001
SVM-218,class_weight,balanced
SVM-218,degree,2
SVM-218,gamma,auto
SVM-218,kernel,poly
SVM-219,C,0.001
SVM-219,class_weight,balanced
SVM-219,degree,3
SVM-219,gamma,scale
SVM-219,kernel,poly
SVM-220,C,0.001
SVM-220,class_weight,balanced
SVM-220,degree,3
SVM-220,gamma,auto
SVM-220,kernel,poly
SVM-221,C,0.001
SVM-221,class_weight,balanced
SVM-221,degree,4
SVM-221,gamma,scale
SVM-221,kernel,poly
SVM-222,C,0.001
SVM-222,class_weight,balanced
SVM-222,degree,4
SVM-222,gamma,auto
SVM-222,kernel,poly
SVM-223,C,0.005
SVM-223,class_weight,
SVM-223,degree,2
SVM-223,gamma,scale
SVM-223,kernel,poly
SVM-224,C,0.005
SVM-224,class_weight,
SVM-224,degree,2
SVM-224,gamma,auto
SVM-224,kernel,poly
SVM-225,C,0.005
SVM-225,class_weight,
SVM-225,degree,3
SVM-225,gamma,scale
SVM-225,kernel,poly
SVM-226,C,0.005
SVM-226,class_weight,
SVM-226,degree,3
SVM-226,gamma,auto
SVM-226,kernel,poly
SVM-227,C,0.005
SVM-227,class_weight,
SVM-227,degree,4
SVM-227,gamma,scale
SVM-227,kernel,poly
SVM-228,C,0.005
SVM-228,class_weight,
SVM-228,degree,4
SVM-228,gamma,auto
SVM-228,kernel,poly
SVM-229,C,0.005
SVM-229,class_weight,balanced
SVM-229,degree,2
SVM-229,gamma,scale
SVM-229,kernel,poly
SVM-230,C,0.005
SVM-230,class_weight,balanced
SVM-230,degree,2
SVM-230,gamma,auto
SVM-230,kernel,poly
SVM-231,C,0.005
SVM-231,class_weight,balanced
SVM-231,degree,3
SVM-231,gamma,scale
SVM-231,kernel,poly
SVM-232,C,0.005
SVM-232,class_weight,balanced
SVM-232,degree,3
SVM-232,gamma,auto
SVM-232,kernel,poly
SVM-233,C,0.005
SVM-233,class_weight,balanced
SVM-233,degree,4
SVM-233,gamma,scale
SVM-233,kernel,poly
SVM-234,C,0.005
SVM-234,class_weight,balanced
SVM-234,degree,4
SVM-234,gamma,auto
SVM-234,kernel,poly
SVM-235,C,0.01
SVM-235,class_weight,
SVM-235,degree,2
SVM-235,gamma,scale
SVM-235,kernel,poly
SVM-236,C,0.01
SVM-236,class_weight,
SVM-236,degree,2
SVM-236,gamma,auto
SVM-236,kernel,poly
SVM-237,C,0.01
SVM-237,class_weight,
SVM-237,degree,3
SVM-237,gamma,scale
SVM-237,kernel,poly
SVM-238,C,0.01
SVM-238,class_weight,
SVM-238,degree,3
SVM-238,gamma,auto
SVM-238,kernel,poly
SVM-239,C,0.01
SVM-239,class_weight,
SVM-239,degree,4
SVM-239,gamma,scale
SVM-239,kernel,poly
SVM-240,C,0.01
SVM-240,class_weight,
SVM-240,degree,4
SVM-240,gamma,auto
SVM-240,kernel,poly
SVM-241,C,0.01
SVM-241,class_weight,balanced
SVM-241,degree,2
SVM-241,gamma,scale
SVM-241,kernel,poly
SVM-242,C,0.01
SVM-242,class_weight,balanced
SVM-242,degree,2
SVM-242,gamma,auto
SVM-242,kernel,poly
SVM-243,C,0.01
SVM-243,class_weight,balanced
SVM-243,degree,3
SVM-243,gamma,scale
SVM-243,kernel,poly
SVM-244,C,0.01
SVM-244,class_weight,balanced
SVM-244,degree,3
SVM-244,gamma,auto
SVM-244,kernel,poly
SVM-245,C,0.01
SVM-245,class_weight,balanced
SVM-245,degree,4
SVM-245,gamma,scale
SVM-245,kernel,poly
SVM-246,C,0.01
SVM-246,class_weight,balanced
SVM-246,degree,4
SVM-246,gamma,auto
SVM-246,kernel,poly
SVM-247,C,0.015
SVM-247,class_weight,
SVM-247,degree,2
SVM-247,gamma,scale
SVM-247,kernel,poly
SVM-248,C,0.015
SVM-248,class_weight,
SVM-248,degree,2
SVM-248,gamma,auto
SVM-248,kernel,poly
SVM-249,C,0.015
SVM-249,class_weight,
SVM-249,degree,3
SVM-249,gamma,scale
SVM-249,kernel,poly
SVM-250,C,0.015
SVM-250,class_weight,
SVM-250,degree,3
SVM-250,gamma,auto
SVM-250,kernel,poly
SVM-251,C,0.015
SVM-251,class_weight,
SVM-251,degree,4
SVM-251,gamma,scale
SVM-251,kernel,poly
SVM-252,C,0.015
SVM-252,class_weight,
SVM-252,degree,4
SVM-252,gamma,auto
SVM-252,kernel,poly
SVM-253,C,0.015
SVM-253,class_weight,balanced
SVM-253,degree,2
SVM-253,gamma,scale
SVM-253,kernel,poly
SVM-254,C,0.015
SVM-254,class_weight,balanced
SVM-254,degree,2
SVM-254,gamma,auto
SVM-254,kernel,poly
SVM-255,C,0.015
SVM-255,class_weight,balanced
SVM-255,degree,3
SVM-255,gamma,scale
SVM-255,kernel,poly
SVM-256,C,0.015
SVM-256,class_weight,balanced
SVM-256,degree,3
SVM-256,gamma,auto
SVM-256,kernel,poly
SVM-257,C,0.015
SVM-257,class_weight,balanced
SVM-257,degree,4
SVM-257,gamma,scale
SVM-257,kernel,poly
SVM-258,C,0.015
SVM-258,class_weight,balanced
