model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted
KNearestNeighbours,KNN-1-1,0.63,0.631578947368421,0.6464912280701754,0.5666666666666667,0.631578947368421,0.631578947368421,0.631578947368421,0.5666666666666667,0.5576365663322186,0.631578947368421,0.5943671888751981,0.5562941578195815,0.5603837179154784,0.5627029331183729,0.631578947368421,0.631578947368421,0.631578947368421,0.6091485231984786,0.6191158476954637,0.6239407150940224
KNearestNeighbours,KNN-2-1,0.43555555555555553,0.5263157894736842,0.5093567251461988,0.4494949494949495,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.4494949494949495,0.43242424242424243,0.5263157894736842,0.5058612440191388,0.43944531618763316,0.44382454488386697,0.4459909489164112,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5143176265129893,0.5195520286120197,0.5221375711204337
KNearestNeighbours,KNN-3-1,0.5071428571428571,0.6052631578947368,0.5789473684210527,0.504040404040404,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.504040404040404,0.49428571428571433,0.6052631578947368,0.5800751879699249,0.4975799060602589,0.5003807752781538,0.5017828243558464,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.5923181801737705,0.5982979540529123,0.6010447573743056
KNearestNeighbours,KNN-4-1,0.5148351648351648,0.631578947368421,0.5880566801619433,0.5262626262626263,0.631578947368421,0.631578947368421,0.631578947368421,0.5262626262626263,0.5072727272727273,0.631578947368421,0.5954545454545453,0.5154370489174017,0.5202846874264038,0.5226059502745137,0.631578947368421,0.631578947368421,0.631578947368421,0.6134647967151238,0.6218683763337345,0.6257037222779904
KNearestNeighbours,KNN-5-1,0.5,0.5789473684210527,0.5447368421052632,0.49696969696969695,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.49696969696969695,0.4773435260391782,0.5789473684210527,0.5385545804310107,0.4841800035433768,0.4897058202844722,0.4924799193687922,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.557122809089694,0.56701957273634,0.571676068748246
KNearestNeighbours,KNN-6-1,0.4542857142857143,0.5526315789473685,0.5086466165413533,0.47474747474747475,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.47474747474747475,0.45094522868435905,0.5526315789473685,0.5144925554994204,0.46188393608074013,0.4677126731178741,0.4704576048687324,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5333562037979727,0.5422655878737339,0.5463504356495898
KNearestNeighbours,KNN-7-1,0.49764705882352944,0.5526315789473685,0.5413312693498452,0.44848484848484854,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.44848484848484854,0.4217391304347826,0.5526315789473685,0.49754821837201707,0.42963799095746313,0.437722413491628,0.4418240534958716,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5215580974088097,0.5355320517560308,0.5421822134703077
KNearestNeighbours,KNN-8-1,0.5116666666666666,0.5789473684210527,0.5598684210526316,0.47070707070707074,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.47070707070707074,0.4386243386243386,0.5789473684210527,0.5189362294625453,0.4492329764926609,0.4585199094804757,0.4631778547179287,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.545481696183954,0.5605552049993537,0.5677110649765661
KNearestNeighbours,KNN-9-1,0.545,0.5789473684210527,0.5993421052631579,0.4595959595959596,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.4595959595959596,0.419005291005291,0.5789473684210527,0.5126204399888611,0.4336835522201376,0.44499257531060976,0.450591255564012,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5416428030677068,0.5583774152185658,0.566359648364147
KNearestNeighbours,KNN-10-1,0.5517460317460318,0.5789473684210527,0.6120300751879699,0.4595959595959596,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.4595959595959596,0.42137566137566135,0.5789473684210527,0.518546365914787,0.4337326729589135,0.444738390282741,0.45035652521963254,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5432133740575156,0.5588864347814099,0.566572213768887
KNearestNeighbours,KNN-11-1,0.5383838383838384,0.5789473684210527,0.587852206273259,0.4595959595959596,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.4595959595959596,0.42919153868443927,0.5789473684210527,0.5219943875916973,0.44113558370250205,0.44936536079672373,0.45333134965781585,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5490527498005011,0.5627733789420982,0.5691240752187646
KNearestNeighbours,KNN-12-1,0.5343137254901962,0.5789473684210527,0.5847523219814241,0.4595959595959596,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.4595959595959596,0.42745098039215684,0.5789473684210527,0.5212295444493588,0.44067685047193245,0.449202704325125,0.45325513627518965,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5492053298297905,0.5629685547423832,0.5692727886209298
KNearestNeighbours,KNN-1-2,0.5905594405594405,0.6052631578947368,0.6239878542510121,0.5414141414141415,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.5414141414141415,0.5557219251336899,0.6052631578947368,0.6064171122994652,0.5448979591836735,0.5427818375166839,0.5421271447292232,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6037496338248217,0.6041604749671668,0.6045285565573335
KNearestNeighbours,KNN-2-2,0.5083333333333334,0.6052631578947368,0.600657894736842,0.5161616161616162,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.5161616161616162,0.4994417862838915,0.6052631578947368,0.5871631830773105,0.5057533450469335,0.5102375019510296,0.5124909921555849,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.593508690403548,0.5985177651035801,0.6010716163874309
KNearestNeighbours,KNN-3-2,0.6133916083916083,0.5526315789473685,0.5773969451601031,0.492929292929293,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.492929292929293,0.5170409982174689,0.5526315789473685,0.5484895393564124,0.49879334152609045,0.49537355203563715,0.49425722454554916,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.5488924017703515,0.5504662587346957,0.5512890331666125
KNearestNeighbours,KNN-4-2,0.4002597402597402,0.5,0.48226247436773756,0.4232323232323232,0.5,0.5,0.5,0.4232323232323232,0.4099518025833816,0.5,0.4891322435643765,0.4174477811044909,0.4202571477578507,0.4214617473558908,0.5,0.5,0.5,0.4951320717883621,0.497475045297226,0.49849229813708035
