model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
GradientBoosting,GB-3-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-9,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-1-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-2-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-3-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-4-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-5-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-6-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-7-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-8-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-9-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-10-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-11-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-12-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-13-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-14-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-15-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-16-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-17-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-18-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-19-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-20-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-21-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-22-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-23-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-24-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-25-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-26-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-27-10,,,,,,,,,,,,,,,,,,,,,,,
GradientBoosting,GB-28-10,,,,,,,,,,,,,,,,,,,,,,,
