model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted
RandomForest,RF-1-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-2-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-3-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-4-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-5-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-6-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-7-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-8-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-9-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-10-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-11-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-12-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-13-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-14-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-15-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-16-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-17-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-18-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-19-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-20-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-21-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-22-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-23-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-24-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-25-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-26-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-27-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-28-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-29-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-30-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-31-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-32-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-33-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-34-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-35-5,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-1-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-2-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-3-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-4-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-5-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-6-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-7-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-8-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-9-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-10-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-11-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-12-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-13-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-14-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-15-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-16-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-17-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-18-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-19-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-20-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-21-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-22-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-23-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-24-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-25-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-26-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-27-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-28-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-29-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-30-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-31-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-32-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-33-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-34-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-35-6,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-1-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-2-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-3-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-4-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-5-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-6-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-7-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-8-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-9-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-10-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-11-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-12-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-13-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-14-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-15-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-16-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-17-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-18-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-19-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-20-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-21-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-22-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-23-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-24-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-25-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-26-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-27-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-28-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-29-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-30-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-31-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-32-7,,,,,,,,,,,,,,,,,,,,,,,
RandomForest,RF-33-7,,,,,,,,,,,,,,,,,,,,,,,
