model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
LinearSVC,LSVM-36-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-37-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-38-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-39-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-40-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-41-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-42-3,0.5094587176108915,0.5675675675675675,0.5632778282234804,0.5069561157796452,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.5069561157796452,0.5075977162933685,0.5675675675675675,0.5647188690666951,0.5070656669658729,0.5069862472918907,0.506967857180973,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.566255567304989,0.5668824358314669,0.5671574570800749,0.44005675100496566,0.44037229965628444,16.0,1.0,7.0,11.0,7.0,7.0,5.0,9.0,7.0,4.0,46.0,63.0,48.0,49.0,58.0,5.0,5.0,10.0,7.0,5.0
LinearSVC,LSVM-43-3,0.016216216216216217,0.08108108108108109,0.006574141709276845,0.2,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.2,0.03,0.08108108108108109,0.012162162162162161,0.061224489795918366,0.09375,0.12000000000000002,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.024820739106453393,0.03800675675675676,0.04864864864864866,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,53.0,0.0,57.0,56.0,62.0,21.0,0.0,17.0,18.0,12.0
LinearSVC,LSVM-44-3,0.6171536796536796,0.6621621621621622,0.6520197145197146,0.6212418300653595,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6212418300653595,0.6114388830148598,0.6621621621621622,0.6476693779806929,0.6154182613449972,0.6180000921244709,0.6192534843686653,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6540117550574085,0.6576748724924784,0.6594205168764142,0.5618190431075321,0.5672511158682317,21.0,3.0,7.0,11.0,7.0,7.0,4.0,5.0,5.0,4.0,46.0,64.0,52.0,51.0,58.0,0.0,3.0,10.0,7.0,5.0
LinearSVC,LSVM-45-3,0.016216216216216217,0.08108108108108109,0.006574141709276845,0.2,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.2,0.03,0.08108108108108109,0.012162162162162161,0.061224489795918366,0.09375,0.12000000000000002,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.024820739106453393,0.03800675675675676,0.04864864864864866,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,53.0,0.0,57.0,56.0,62.0,21.0,0.0,17.0,18.0,12.0
LinearSVC,LSVM-46-3,0.5763532763532763,0.6216216216216216,0.6265303765303766,0.5888422035480859,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.5888422035480859,0.5704575454208379,0.6216216216216216,0.6117214322219884,0.5784904282734562,0.5831387467751105,0.5853560383566492,0.6216216216216216,0.6216216216216215,0.6216216216216216,0.6147928762425491,0.6177198449925723,0.6192068597304478,0.5137291715559728,0.5195945552824257,20.0,3.0,6.0,10.0,7.0,7.0,6.0,6.0,3.0,6.0,46.0,62.0,51.0,53.0,56.0,1.0,3.0,11.0,8.0,5.0
LinearSVC,LSVM-47-3,0.11944444444444444,0.33783783783783783,0.16047297297297297,0.24444444444444446,0.33783783783783783,0.33783783783783783,0.33783783783783783,0.24444444444444446,0.15353535353535352,0.33783783783783783,0.20884520884520882,0.19444444444444445,0.21587301587301586,0.2265873015873016,0.33783783783783783,0.33783783783783783,0.33783783783783783,0.2668918918918919,0.2972972972972973,0.3125,0.0880281690140845,0.11968437283779709,21.0,0.0,0.0,4.0,0.0,35.0,0.0,0.0,14.0,0.0,18.0,68.0,57.0,42.0,62.0,0.0,6.0,17.0,14.0,12.0
LinearSVC,LSVM-48-3,0.5998583877995642,0.6216216216216216,0.6138888888888889,0.5695144724556489,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.5695144724556489,0.5773707664884137,0.6216216216216216,0.6114810666281254,0.5710434084673436,0.5700127085845368,0.5697429670070863,0.6216216216216216,0.6216216216216215,0.6216216216216216,0.6160065155871306,0.6185431264570542,0.6197438759135192,0.5052531041069723,0.5082544035991199,19.0,2.0,8.0,10.0,7.0,8.0,2.0,9.0,6.0,3.0,45.0,66.0,48.0,50.0,59.0,2.0,4.0,9.0,8.0,5.0
LinearSVC,LSVM-49-3,0.15833333333333335,0.2972972972972973,0.20439189189189189,0.2111111111111111,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2111111111111111,0.11032258064516129,0.2972972972972973,0.15248474280732346,0.14812889812889812,0.1731146621811046,0.1867241379310345,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2074436702815081,0.2431636851317255,0.26256989748369064,0.020366598778003953,0.07237830545132455,21.0,0.0,0.0,1.0,0.0,51.0,0.0,0.0,1.0,0.0,2.0,68.0,57.0,55.0,62.0,0.0,6.0,17.0,17.0,12.0
