model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
RandomForest,RF-54-3,0.6095238095238096,0.6621621621621622,0.6824324324324325,0.5447245564892624,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.5447245564892624,0.5242582139238674,0.6621621621621622,0.6215394726033023,0.5276033490319205,0.5346373236287348,0.5384084474339914,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.636349654206797,0.6475649569068486,0.6531480345576846,0.5503159941662615,0.5767905953016634,20.0,0.0,15.0,10.0,4.0,8.0,0.0,15.0,2.0,0.0,45.0,68.0,42.0,54.0,62.0,1.0,6.0,2.0,8.0,8.0
RandomForest,RF-55-3,0.65,0.7162162162162162,0.7311776061776062,0.611391223155929,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.611391223155929,0.5994557823129252,0.7162162162162162,0.6882882882882883,0.5996297909407666,0.6042877578388147,0.6069071465447303,0.7162162162162162,0.7162162162162162,0.7162162162162162,0.6970038963179207,0.7051920925374047,0.7093762296111289,0.624274661508704,0.64789254956328,20.0,0.0,15.0,10.0,8.0,8.0,0.0,13.0,0.0,0.0,45.0,68.0,44.0,56.0,62.0,1.0,6.0,2.0,8.0,4.0
RandomForest,RF-56-3,0.6428571428571429,0.6891891891891891,0.722972972972973,0.5780578898225956,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.5780578898225956,0.5671153567810102,0.6891891891891891,0.660149511213341,0.5646949836845307,0.56980845112671,0.572811621760464,0.689189189189189,0.689189189189189,0.6891891891891891,0.6676010878972551,0.676623928269454,0.6813508622811258,0.5874939408628211,0.6155228642169736,20.0,0.0,15.0,10.0,6.0,8.0,0.0,15.0,0.0,0.0,45.0,68.0,42.0,56.0,62.0,1.0,6.0,2.0,8.0,6.0
RandomForest,RF-57-3,0.5456690368455075,0.5945945945945946,0.6038430964901553,0.4832399626517274,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.4832399626517274,0.461015662078785,0.5945945945945946,0.5521594684385381,0.4684855115845047,0.47497931729324777,0.47816838129413775,0.5945945945945946,0.5945945945945946,0.5945945945945946,0.5716937181764178,0.5822007295123952,0.5870736175802741,0.45906432748538006,0.47439584177504746,19.0,0.0,12.0,10.0,3.0,9.0,0.0,14.0,7.0,0.0,44.0,68.0,43.0,49.0,62.0,2.0,6.0,5.0,8.0,9.0
RandomForest,RF-58-3,0.5967032967032967,0.6621621621621622,0.6668399168399168,0.549626517273576,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.549626517273576,0.534389067454939,0.6621621621621622,0.6269238064304478,0.5363914433698007,0.5418092193386613,0.5447310803547375,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.6404654862965073,0.6499926862078955,0.654673367749746,0.5507527926177755,0.5713954376831807,20.0,0.0,14.0,10.0,5.0,8.0,0.0,14.0,3.0,0.0,45.0,68.0,43.0,53.0,62.0,1.0,6.0,3.0,8.0,7.0
RandomForest,RF-59-3,0.5883289124668435,0.6351351351351351,0.6558893110617249,0.5162931839402427,0.6351351351351351,0.6351351351351351,0.6351351351351351,0.5162931839402427,0.4907713884992987,0.6351351351351351,0.5886585042265267,0.49779163558498835,0.5056721607180321,0.5097054076856561,0.6351351351351352,0.6351351351351352,0.6351351351351351,0.6076994471945555,0.6198910223209751,0.6257848485946607,0.5131578947368421,0.5377232611589052,20.0,0.0,14.0,10.0,3.0,9.0,0.0,15.0,3.0,0.0,44.0,68.0,42.0,53.0,62.0,1.0,6.0,3.0,8.0,9.0
RandomForest,RF-60-3,0.5871794871794871,0.6351351351351351,0.6533264033264033,0.5162931839402427,0.6351351351351351,0.6351351351351351,0.6351351351351351,0.5162931839402427,0.4903394476069997,0.6351351351351351,0.5873144491740316,0.4977425180598555,0.5056843027629373,0.5097235193323642,0.6351351351351352,0.6351351351351352,0.6351351351351351,0.6072234192396732,0.6196785269115753,0.6256680795033827,0.5126829268292683,0.5368504302320245,20.0,0.0,14.0,10.0,3.0,10.0,0.0,14.0,3.0,0.0,43.0,68.0,43.0,53.0,62.0,1.0,6.0,3.0,8.0,9.0
RandomForest,RF-61-3,0.50787841191067,0.6081081081081081,0.5835974001296581,0.4976657329598507,0.6081081081081081,0.6081081081081081,0.6081081081081081,0.4976657329598507,0.4790843739702906,0.6081081081081081,0.5705680261148397,0.48519939376716864,0.49057312001112174,0.4932811342116836,0.6081081081081081,0.6081081081081081,0.6081081081081081,0.587251253811356,0.5966502897814226,0.6011112272273273,0.47798589151058135,0.4937306243745801,20.0,0.0,11.0,10.0,4.0,11.0,0.0,13.0,3.0,2.0,42.0,68.0,44.0,53.0,60.0,1.0,6.0,6.0,8.0,8.0
RandomForest,RF-62-3,0.5920634920634921,0.6891891891891891,0.672029172029172,0.5780578898225956,0.6891891891891891,0.6891891891891891,0.6891891891891891,0.5780578898225956,0.559278065293103,0.6891891891891891,0.652874508137666,0.5646046935520619,0.5702888187242784,0.5732276448335002,0.689189189189189,0.689189189189189,0.6891891891891891,0.6679836877205299,0.6773946287536265,0.6819522451814346,0.5877936546379268,0.6068952929525826,20.0,0.0,15.0,10.0,6.0,8.0,0.0,12.0,2.0,1.0,45.0,68.0,45.0,54.0,61.0,1.0,6.0,2.0,8.0,6.0
RandomForest,RF-63-3,0.6185997910135841,0.6621621621621622,0.6913072947555707,0.5447245564892624,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.5447245564892624,0.5252285621894935,0.6621621621621622,0.6212342954119126,0.5274827763828803,0.5345190745064052,0.5383276953576004,0.6621621621621622,0.6621621621621622,0.6621621621621622,0.635461359970901,0.6470190508910914,0.6528049877741923,0.5495495495495495,0.5777176652932786,20.0,0.0,15.0,10.0,4.0,10.0,0.0,14.0,1.0,0.0,43.0,68.0,43.0,55.0,62.0,1.0,6.0,2.0,8.0,8.0
