model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_HV,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_HV,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_HV,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_HV,fn_CS,fn_PA,fn_PHT,fn_PPGL
SupportVectorMachine,SVM-43-5,0.05675675675675675,0.28378378378378377,0.08053323593864134,0.2,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2,0.08842105263157894,0.28378378378378377,0.12546230440967282,0.13291139240506328,0.15969581749049427,0.17414634146341465,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.1885904892234006,0.22659541670948513,0.24709953856295325,0.0,0.0,21.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,56.0,56.0,62.0,0.0,5.0,18.0,18.0,12.0
SupportVectorMachine,SVM-44-5,0.05675675675675675,0.28378378378378377,0.08053323593864134,0.2,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2,0.08842105263157894,0.28378378378378377,0.12546230440967282,0.13291139240506328,0.15969581749049427,0.17414634146341465,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.1885904892234006,0.22659541670948513,0.24709953856295325,0.0,0.0,21.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,56.0,56.0,62.0,0.0,5.0,18.0,18.0,12.0
SupportVectorMachine,SVM-45-5,0.05675675675675675,0.28378378378378377,0.08053323593864134,0.2,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2,0.08842105263157894,0.28378378378378377,0.12546230440967282,0.13291139240506328,0.15969581749049427,0.17414634146341465,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.1885904892234006,0.22659541670948513,0.24709953856295325,0.0,0.0,21.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,56.0,56.0,62.0,0.0,5.0,18.0,18.0,12.0
SupportVectorMachine,SVM-46-5,0.05675675675675675,0.28378378378378377,0.08053323593864134,0.2,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2,0.08842105263157894,0.28378378378378377,0.12546230440967282,0.13291139240506328,0.15969581749049427,0.17414634146341465,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.1885904892234006,0.22659541670948513,0.24709953856295325,0.0,0.0,21.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,56.0,56.0,62.0,0.0,5.0,18.0,18.0,12.0
SupportVectorMachine,SVM-47-5,0.10505952380952381,0.24324324324324326,0.10686132561132561,0.34444444444444444,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.34444444444444444,0.1465531914893617,0.24324324324324326,0.1408625646923519,0.2056451612903226,0.2489631472923332,0.27746926229508195,0.24324324324324326,0.2432432432432432,0.24324324324324326,0.1792720139494333,0.20182998497964727,0.21506562915374391,0.11641791044776117,0.16215290099206442,0.0,5.0,0.0,13.0,0.0,0.0,37.0,0.0,19.0,0.0,53.0,32.0,56.0,37.0,62.0,21.0,0.0,18.0,5.0,12.0
SupportVectorMachine,SVM-48-5,0.09619883040935673,0.24324324324324326,0.09259917812549393,0.34444444444444444,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.34444444444444444,0.1416376306620209,0.24324324324324326,0.12941425746303795,0.2074675324675325,0.2534567901234568,0.2821345462238206,0.24324324324324326,0.2432432432432432,0.24324324324324326,0.1738987363987364,0.19981648314981648,0.21440874447538297,0.10147441457068518,0.137763611333405,0.0,5.0,0.0,13.0,0.0,0.0,31.0,0.0,25.0,0.0,53.0,38.0,56.0,31.0,62.0,21.0,0.0,18.0,5.0,12.0
SupportVectorMachine,SVM-49-5,0.10505952380952381,0.24324324324324326,0.10686132561132561,0.34444444444444444,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.34444444444444444,0.1465531914893617,0.24324324324324326,0.1408625646923519,0.2056451612903226,0.2489631472923332,0.27746926229508195,0.24324324324324326,0.2432432432432432,0.24324324324324326,0.1792720139494333,0.20182998497964727,0.21506562915374391,0.11641791044776117,0.16215290099206442,0.0,5.0,0.0,13.0,0.0,0.0,37.0,0.0,19.0,0.0,53.0,32.0,56.0,37.0,62.0,21.0,0.0,18.0,5.0,12.0
SupportVectorMachine,SVM-50-5,0.09619883040935673,0.24324324324324326,0.09259917812549393,0.34444444444444444,0.24324324324324326,0.24324324324324326,0.24324324324324326,0.34444444444444444,0.1416376306620209,0.24324324324324326,0.12941425746303795,0.2074675324675325,0.2534567901234568,0.2821345462238206,0.24324324324324326,0.2432432432432432,0.24324324324324326,0.1738987363987364,0.19981648314981648,0.21440874447538297,0.10147441457068518,0.137763611333405,0.0,5.0,0.0,13.0,0.0,0.0,31.0,0.0,25.0,0.0,53.0,38.0,56.0,31.0,62.0,21.0,0.0,18.0,5.0,12.0
SupportVectorMachine,SVM-51-5,0.05675675675675675,0.28378378378378377,0.08053323593864134,0.2,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2,0.08842105263157894,0.28378378378378377,0.12546230440967282,0.13291139240506328,0.15969581749049427,0.17414634146341465,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.1885904892234006,0.22659541670948513,0.24709953856295325,0.0,0.0,21.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,56.0,56.0,62.0,0.0,5.0,18.0,18.0,12.0
SupportVectorMachine,SVM-52-5,0.05675675675675675,0.28378378378378377,0.08053323593864134,0.2,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.2,0.08842105263157894,0.28378378378378377,0.12546230440967282,0.13291139240506328,0.15969581749049427,0.17414634146341465,0.28378378378378377,0.28378378378378377,0.28378378378378377,0.1885904892234006,0.22659541670948513,0.24709953856295325,0.0,0.0,21.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,69.0,56.0,56.0,62.0,0.0,5.0,18.0,18.0,12.0
