model_id,param,value
RF-55,n_estimators,1000
RF-56,class_weight,
RF-56,criterion,gini
RF-56,max_depth,
RF-56,max_features,
RF-56,min_samples_leaf,8
RF-56,min_samples_split,8
RF-56,n_estimators,50
RF-57,class_weight,
RF-57,criterion,gini
RF-57,max_depth,
RF-57,max_features,
RF-57,min_samples_leaf,8
RF-57,min_samples_split,8
RF-57,n_estimators,100
RF-58,class_weight,
RF-58,criterion,gini
RF-58,max_depth,
RF-58,max_features,
RF-58,min_samples_leaf,8
RF-58,min_samples_split,8
RF-58,n_estimators,300
RF-59,class_weight,
RF-59,criterion,gini
RF-59,max_depth,
RF-59,max_features,
RF-59,min_samples_leaf,8
RF-59,min_samples_split,8
RF-59,n_estimators,500
RF-60,class_weight,
RF-60,criterion,gini
RF-60,max_depth,
RF-60,max_features,
RF-60,min_samples_leaf,8
RF-60,min_samples_split,8
RF-60,n_estimators,1000
RF-61,class_weight,
RF-61,criterion,gini
RF-61,max_depth,
RF-61,max_features,
RF-61,min_samples_leaf,8
RF-61,min_samples_split,16
RF-61,n_estimators,50
RF-62,class_weight,
RF-62,criterion,gini
RF-62,max_depth,
RF-62,max_features,
RF-62,min_samples_leaf,8
RF-62,min_samples_split,16
RF-62,n_estimators,100
RF-63,class_weight,
RF-63,criterion,gini
RF-63,max_depth,
RF-63,max_features,
RF-63,min_samples_leaf,8
RF-63,min_samples_split,16
RF-63,n_estimators,300
RF-64,class_weight,
RF-64,criterion,gini
RF-64,max_depth,
RF-64,max_features,
RF-64,min_samples_leaf,8
RF-64,min_samples_split,16
RF-64,n_estimators,500
RF-65,class_weight,
RF-65,criterion,gini
RF-65,max_depth,
RF-65,max_features,
RF-65,min_samples_leaf,8
RF-65,min_samples_split,16
RF-65,n_estimators,1000
RF-66,class_weight,
RF-66,criterion,gini
RF-66,max_depth,
RF-66,max_features,
RF-66,min_samples_leaf,8
RF-66,min_samples_split,32
RF-66,n_estimators,50
RF-67,class_weight,
RF-67,criterion,gini
RF-67,max_depth,
RF-67,max_features,
RF-67,min_samples_leaf,8
RF-67,min_samples_split,32
RF-67,n_estimators,100
RF-68,class_weight,
RF-68,criterion,gini
RF-68,max_depth,
RF-68,max_features,
RF-68,min_samples_leaf,8
RF-68,min_samples_split,32
RF-68,n_estimators,300
RF-69,class_weight,
RF-69,criterion,gini
RF-69,max_depth,
RF-69,max_features,
RF-69,min_samples_leaf,8
RF-69,min_samples_split,32
RF-69,n_estimators,500
RF-70,class_weight,
RF-70,criterion,gini
RF-70,max_depth,
RF-70,max_features,
RF-70,min_samples_leaf,8
RF-70,min_samples_split,32
RF-70,n_estimators,1000
RF-71,class_weight,
RF-71,criterion,gini
RF-71,max_depth,
RF-71,max_features,
RF-71,min_samples_leaf,8
RF-71,min_samples_split,64
RF-71,n_estimators,50
RF-72,class_weight,
RF-72,criterion,gini
RF-72,max_depth,
RF-72,max_features,
RF-72,min_samples_leaf,8
RF-72,min_samples_split,64
RF-72,n_estimators,100
RF-73,class_weight,
RF-73,criterion,gini
RF-73,max_depth,
RF-73,max_features,
RF-73,min_samples_leaf,8
RF-73,min_samples_split,64
RF-73,n_estimators,300
RF-74,class_weight,
RF-74,criterion,gini
RF-74,max_depth,
RF-74,max_features,
RF-74,min_samples_leaf,8
RF-74,min_samples_split,64
RF-74,n_estimators,500
RF-75,class_weight,
RF-75,criterion,gini
RF-75,max_depth,
RF-75,max_features,
RF-75,min_samples_leaf,8
RF-75,min_samples_split,64
RF-75,n_estimators,1000
RF-76,class_weight,
RF-76,criterion,gini
RF-76,max_depth,
RF-76,max_features,sqrt
RF-76,min_samples_leaf,2
RF-76,min_samples_split,4
RF-76,n_estimators,50
RF-77,class_weight,
RF-77,criterion,gini
RF-77,max_depth,
RF-77,max_features,sqrt
RF-77,min_samples_leaf,2
RF-77,min_samples_split,4
RF-77,n_estimators,100
RF-78,class_weight,
RF-78,criterion,gini
RF-78,max_depth,
RF-78,max_features,sqrt
RF-78,min_samples_leaf,2
RF-78,min_samples_split,4
RF-78,n_estimators,300
RF-79,class_weight,
RF-79,criterion,gini
RF-79,max_depth,
RF-79,max_features,sqrt
RF-79,min_samples_leaf,2
RF-79,min_samples_split,4
RF-79,n_estimators,500
RF-80,class_weight,
RF-80,criterion,gini
RF-80,max_depth,
RF-80,max_features,sqrt
RF-80,min_samples_leaf,2
RF-80,min_samples_split,4
RF-80,n_estimators,1000
RF-81,class_weight,
RF-81,criterion,gini
RF-81,max_depth,
RF-81,max_features,sqrt
RF-81,min_samples_leaf,2
RF-81,min_samples_split,8
RF-81,n_estimators,50
RF-82,class_weight,
RF-82,criterion,gini
RF-82,max_depth,
RF-82,max_features,sqrt
RF-82,min_samples_leaf,2
RF-82,min_samples_split,8
RF-82,n_estimators,100
RF-83,class_weight,
RF-83,criterion,gini
RF-83,max_depth,
RF-83,max_features,sqrt
RF-83,min_samples_leaf,2
RF-83,min_samples_split,8
RF-83,n_estimators,300
RF-84,class_weight,
RF-84,criterion,gini
RF-84,max_depth,
RF-84,max_features,sqrt
RF-84,min_samples_leaf,2
RF-84,min_samples_split,8
RF-84,n_estimators,500
RF-85,class_weight,
RF-85,criterion,gini
RF-85,max_depth,
RF-85,max_features,sqrt
RF-85,min_samples_leaf,2
RF-85,min_samples_split,8
RF-85,n_estimators,1000
RF-86,class_weight,
RF-86,criterion,gini
RF-86,max_depth,
RF-86,max_features,sqrt
RF-86,min_samples_leaf,2
RF-86,min_samples_split,16
RF-86,n_estimators,50
RF-87,class_weight,
RF-87,criterion,gini
RF-87,max_depth,
RF-87,max_features,sqrt
RF-87,min_samples_leaf,2
RF-87,min_samples_split,16
RF-87,n_estimators,100
RF-88,class_weight,
RF-88,criterion,gini
RF-88,max_depth,
RF-88,max_features,sqrt
RF-88,min_samples_leaf,2
RF-88,min_samples_split,16
RF-88,n_estimators,300
RF-89,class_weight,
RF-89,criterion,gini
RF-89,max_depth,
RF-89,max_features,sqrt
RF-89,min_samples_leaf,2
RF-89,min_samples_split,16
RF-89,n_estimators,500
RF-90,class_weight,
RF-90,criterion,gini
RF-90,max_depth,
RF-90,max_features,sqrt
RF-90,min_samples_leaf,2
RF-90,min_samples_split,16
RF-90,n_estimators,1000
