model_id,param,value
SVM-162,gamma,scale
SVM-162,kernel,poly
SVM-163,C,0.07
SVM-163,degree,2
SVM-163,gamma,auto
SVM-163,kernel,poly
SVM-164,C,0.07
SVM-164,degree,3
SVM-164,gamma,scale
SVM-164,kernel,poly
SVM-165,C,0.07
SVM-165,degree,3
SVM-165,gamma,auto
SVM-165,kernel,poly
SVM-166,C,0.07
SVM-166,degree,4
SVM-166,gamma,scale
SVM-166,kernel,poly
SVM-167,C,0.07
SVM-167,degree,4
SVM-167,gamma,auto
SVM-167,kernel,poly
SVM-168,C,0.1
SVM-168,degree,2
SVM-168,gamma,scale
SVM-168,kernel,poly
SVM-169,C,0.1
SVM-169,degree,2
SVM-169,gamma,auto
SVM-169,kernel,poly
SVM-170,C,0.1
SVM-170,degree,3
SVM-170,gamma,scale
SVM-170,kernel,poly
SVM-171,C,0.1
SVM-171,degree,3
SVM-171,gamma,auto
SVM-171,kernel,poly
SVM-172,C,0.1
SVM-172,degree,4
SVM-172,gamma,scale
SVM-172,kernel,poly
SVM-173,C,0.1
SVM-173,degree,4
SVM-173,gamma,auto
SVM-173,kernel,poly
SVM-174,C,0.12
SVM-174,degree,2
SVM-174,gamma,scale
SVM-174,kernel,poly
SVM-175,C,0.12
SVM-175,degree,2
SVM-175,gamma,auto
SVM-175,kernel,poly
SVM-176,C,0.12
SVM-176,degree,3
SVM-176,gamma,scale
SVM-176,kernel,poly
SVM-177,C,0.12
SVM-177,degree,3
SVM-177,gamma,auto
SVM-177,kernel,poly
SVM-178,C,0.12
SVM-178,degree,4
SVM-178,gamma,scale
SVM-178,kernel,poly
SVM-179,C,0.12
SVM-179,degree,4
SVM-179,gamma,auto
SVM-179,kernel,poly
SVM-180,C,0.15
SVM-180,degree,2
SVM-180,gamma,scale
SVM-180,kernel,poly
SVM-181,C,0.15
SVM-181,degree,2
SVM-181,gamma,auto
SVM-181,kernel,poly
SVM-182,C,0.15
SVM-182,degree,3
SVM-182,gamma,scale
SVM-182,kernel,poly
SVM-183,C,0.15
SVM-183,degree,3
SVM-183,gamma,auto
SVM-183,kernel,poly
SVM-184,C,0.15
SVM-184,degree,4
SVM-184,gamma,scale
SVM-184,kernel,poly
SVM-185,C,0.15
SVM-185,degree,4
SVM-185,gamma,auto
SVM-185,kernel,poly
SVM-186,C,0.2
SVM-186,degree,2
SVM-186,gamma,scale
SVM-186,kernel,poly
SVM-187,C,0.2
SVM-187,degree,2
SVM-187,gamma,auto
SVM-187,kernel,poly
SVM-188,C,0.2
SVM-188,degree,3
SVM-188,gamma,scale
