model_type,id,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,accuracy,balanced_accuracy,f1_macro,f1_micro,f1_weighted,fbeta_2_macro,fbeta_3_macro,fbeta_4_macro,fbeta_2_micro,fbeta_3_micro,fbeta_4_micro,fbeta_2_weighted,fbeta_3_weighted,fbeta_4_weighted,cohen_kappa,matthew_coef,tp_CS,tp_PA,tp_PHT,tp_PPGL,fp_CS,fp_PA,fp_PHT,fp_PPGL,tn_CS,tn_PA,tn_PHT,tn_PPGL,fn_CS,fn_PA,fn_PHT,fn_PPGL
LinearSVC,LSVM-6-2,0.5770676691729324,0.6037735849056604,0.5966094481486736,0.5620915032679739,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5620915032679739,0.5642474642474642,0.6037735849056604,0.5971445518615329,0.5619313482216708,0.5618546837933609,0.5619151741634427,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6004940484550954,0.6020340978880367,0.602726514509471,0.4443334997503744,0.4454635232216931,2.0,8.0,14.0,8.0,2.0,8.0,5.0,6.0,45.0,28.0,30.0,35.0,4.0,9.0,4.0,4.0
LinearSVC,LSVM-7-2,0.5513392857142857,0.6037735849056604,0.6079290206648698,0.5359477124183006,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5359477124183006,0.539422084623323,0.6037735849056604,0.6021146094982184,0.5364180529208619,0.5360325455249904,0.5359612822585473,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.6022159417855835,0.6028427380543351,0.603188821593555,0.4423847695390781,0.4451183854498078,1.0,10.0,13.0,8.0,3.0,11.0,3.0,4.0,44.0,25.0,32.0,37.0,5.0,7.0,5.0,4.0
LinearSVC,LSVM-8-2,0.5919059011164274,0.6037735849056604,0.5996208359664169,0.5351307189542484,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5351307189542484,0.5409002229654404,0.6037735849056604,0.5900170379251592,0.5350508363389908,0.5347808681230785,0.5348549649411188,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5968099984761357,0.6000848321259031,0.6015556074212359,0.4332993890020367,0.4368923966648032,1.0,9.0,14.0,8.0,1.0,10.0,7.0,3.0,46.0,26.0,28.0,38.0,5.0,8.0,4.0,4.0
LinearSVC,LSVM-9-2,0.5875,0.6037735849056604,0.6075471698113208,0.5428921568627451,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5428921568627451,0.5407723900370959,0.6037735849056604,0.5923598404175541,0.5391483516483517,0.5406176827740777,0.541461058734644,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5973036397564699,0.6002516496671038,0.6016337582323692,0.44042232277526394,0.44479132504953695,1.0,10.0,12.0,9.0,1.0,10.0,4.0,6.0,46.0,26.0,31.0,35.0,5.0,7.0,6.0,3.0
LinearSVC,LSVM-10-2,0.43508771929824563,0.5660377358490566,0.5142005958291956,0.48651960784313725,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.48651960784313725,0.45833333333333326,0.5660377358490566,0.5377358490566038,0.4745484400656814,0.48040744942333147,0.48289257433139093,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5540477739566875,0.5599214460771198,0.5624096140997776,0.3830971659919028,0.3869924671992875,0.0,9.0,12.0,9.0,1.0,10.0,6.0,6.0,46.0,26.0,29.0,35.0,6.0,8.0,6.0,3.0
LinearSVC,LSVM-11-2,0.5708333333333333,0.5849056603773585,0.5924528301886792,0.5220588235294117,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5220588235294117,0.5222538715185774,0.5849056603773585,0.5755883519479524,0.5193070818070818,0.5202924795220452,0.5209296577684603,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.5793341878247539,0.58184391841998,0.5830392818856369,0.41377576671694327,0.4178804343787316,1.0,10.0,12.0,8.0,1.0,10.0,4.0,7.0,46.0,26.0,31.0,34.0,5.0,7.0,6.0,4.0
LinearSVC,LSVM-12-2,0.41666666666666663,0.5471698113207547,0.5,0.46568627450980393,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.46568627450980393,0.4380952380952381,0.5471698113207547,0.5207547169811321,0.45373062015503873,0.4595359366157328,0.462024756852343,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5357612988152699,0.5413076208476151,0.5436814974225515,0.35790005047955575,0.36188243114892493,0.0,9.0,12.0,8.0,1.0,9.0,6.0,8.0,46.0,27.0,29.0,33.0,6.0,8.0,6.0,4.0
LinearSVC,LSVM-13-2,0.5668337510442774,0.5849056603773585,0.5832032912469854,0.5212418300653594,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.5212418300653594,0.5219017094017094,0.5849056603773585,0.5732946298984034,0.5192331460407099,0.5199467924162929,0.5204147451527236,0.5849056603773585,0.5849056603773586,0.5849056603773585,0.579035567660245,0.5818043371255522,0.583043221764432,0.4117053481331988,0.41432616579956866,1.0,9.0,13.0,8.0,1.0,10.0,5.0,6.0,46.0,26.0,30.0,35.0,5.0,8.0,5.0,4.0
LinearSVC,LSVM-14-2,0.42320261437908496,0.5471698113207547,0.5094339622641509,0.46486928104575165,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.46486928104575165,0.4410597572362278,0.5471698113207547,0.5256064690026955,0.45445261437908496,0.4594929369597301,0.46166415284062345,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5423006695069994,0.544267053701016,0.3614457831325302,0.3644471480623969,0.0,8.0,13.0,8.0,2.0,9.0,5.0,8.0,45.0,27.0,30.0,33.0,6.0,9.0,5.0,4.0
LinearSVC,LSVM-15-2,0.5499999999999999,0.5660377358490566,0.5651991614255765,0.5065359477124183,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5065359477124183,0.5054894179894179,0.5660377358490566,0.554387541179994,0.5036417071300792,0.5047591030421582,0.5054154895341445,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.5599975569260344,0.5628211885750578,0.5640997752952557,0.38651233014594866,0.3891458426325708,1.0,8.0,13.0,8.0,1.0,10.0,5.0,7.0,46.0,26.0,30.0,34.0,5.0,9.0,5.0,4.0
LinearSVC,LSVM-16-2,0.42320261437908496,0.5471698113207547,0.5094339622641509,0.46486928104575165,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.46486928104575165,0.4410597572362278,0.5471698113207547,0.5256064690026955,0.45445261437908496,0.4594929369597301,0.46166415284062345,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5377358490566038,0.5423006695069994,0.544267053701016,0.3614457831325302,0.3644471480623969,0.0,8.0,13.0,8.0,2.0,9.0,5.0,8.0,45.0,27.0,30.0,33.0,6.0,9.0,5.0,4.0
LinearSVC,LSVM-17-2,0.43700980392156863,0.5660377358490566,0.5248057713651498,0.47957516339869277,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.47957516339869277,0.45548405548405546,0.5660377358490566,0.5425058481662255,0.4691553374839892,0.47422367529452414,0.4763918993980067,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.555816921753958,0.5607817808102389,0.5629097201586699,0.38340920586747607,0.3879126607622023,0.0,9.0,13.0,8.0,1.0,11.0,4.0,7.0,46.0,25.0,31.0,34.0,6.0,8.0,5.0,4.0
LinearSVC,LSVM-18-2,0.41584967320261434,0.5471698113207547,0.5027746947835738,0.46486928104575165,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.46486928104575165,0.4361336488618436,0.5471698113207547,0.5211450878334417,0.4520487682252388,0.45820261437908494,0.46088204021640555,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5355587808417998,0.5411320754716981,0.54355872528663,0.3595166163141995,0.3642432394165341,0.0,8.0,13.0,8.0,1.0,9.0,5.0,9.0,46.0,27.0,30.0,32.0,6.0,9.0,5.0,4.0
LinearSVC,LSVM-19-2,0.43700980392156863,0.5660377358490566,0.5248057713651498,0.47957516339869277,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.47957516339869277,0.45548405548405546,0.5660377358490566,0.5425058481662255,0.4691553374839892,0.47422367529452414,0.4763918993980067,0.5660377358490566,0.5660377358490566,0.5660377358490566,0.555816921753958,0.5607817808102389,0.5629097201586699,0.38340920586747607,0.3879126607622023,0.0,9.0,13.0,8.0,1.0,11.0,4.0,7.0,46.0,25.0,31.0,34.0,6.0,8.0,5.0,4.0
LinearSVC,LSVM-20-2,0.4108187134502924,0.5471698113207547,0.4935451837140019,0.46486928104575165,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.46486928104575165,0.43452380952380953,0.5471698113207547,0.5172207247678946,0.45174808429118773,0.45812494790364255,0.46085558198960264,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.534265885924962,0.5405455137369248,0.5432296420431024,0.35431472081218274,0.35968449980090794,0.0,8.0,13.0,8.0,0.0,11.0,5.0,8.0,47.0,25.0,30.0,33.0,6.0,9.0,5.0,4.0
LinearSVC,LSVM-21-2,0.4203431372549019,0.5471698113207547,0.5097114317425083,0.4587418300653595,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.4587418300653595,0.43696553696553697,0.5471698113207547,0.5257343596966239,0.44931406764271936,0.4538984720424917,0.4558604984318231,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.537847469822242,0.5423740495631151,0.5443152438119376,0.35660091047040976,0.36078947999650746,0.0,9.0,13.0,7.0,1.0,11.0,4.0,8.0,46.0,25.0,31.0,33.0,6.0,8.0,5.0,5.0
LinearSVC,LSVM-22-2,0.42331932773109243,0.5471698113207547,0.5103852861899477,0.4587418300653595,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.4587418300653595,0.4387507229612493,0.5471698113207547,0.5261433700361207,0.4501177963030083,0.4543172135884618,0.4561110917970862,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5380333317376408,0.5424712273252685,0.5443734885202487,0.3549695740365112,0.35937094907798145,0.0,9.0,13.0,7.0,1.0,12.0,4.0,7.0,46.0,24.0,31.0,34.0,6.0,8.0,5.0,5.0
LinearSVC,LSVM-23-2,0.4054621848739496,0.5283018867924528,0.4942127794514032,0.43790849673202614,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.43790849673202614,0.41951995373048,0.5283018867924528,0.5087268243176882,0.4299565059804277,0.4338254103097733,0.4354800238359211,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5197740499360582,0.5239126130351355,0.5256887477252312,0.32809330628803246,0.3321614343620771,0.0,9.0,13.0,6.0,1.0,12.0,4.0,8.0,46.0,24.0,31.0,33.0,6.0,8.0,5.0,6.0
LinearSVC,LSVM-24-2,0.408833813245578,0.5283018867924528,0.495428544818112,0.43790849673202614,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.43790849673202614,0.4210989010989011,0.5283018867924528,0.5090109890109891,0.43053508933505247,0.43410261653024473,0.43563982570237214,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5197680520753327,0.5238848314022955,0.5256659138423954,0.3263853584138281,0.3310045353916688,0.0,9.0,13.0,6.0,1.0,13.0,4.0,7.0,46.0,23.0,31.0,34.0,6.0,8.0,5.0,6.0
LinearSVC,LSVM-25-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-26-2,0.4102678571428572,0.5283018867924528,0.5039757412398922,0.43790849673202614,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.43790849673202614,0.42070863433092537,0.5283018867924528,0.5122768074459177,0.4301112043387324,0.4338458340027027,0.43547790193505725,0.5283018867924528,0.5283018867924528,0.5283018867924528,0.5208536958059959,0.5243930075583315,0.5259566584877811,0.3301314459049546,0.33488606251093495,0.0,9.0,13.0,6.0,1.0,12.0,3.0,9.0,46.0,24.0,32.0,32.0,6.0,8.0,5.0,6.0
LinearSVC,LSVM-27-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-28-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-29-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-30-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-31-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-32-2,0.3827380952380952,0.49056603773584906,0.4674752920035939,0.40931372549019607,0.49056603773584906,0.49056603773584906,0.49056603773584906,0.40931372549019607,0.3928448572411421,0.49056603773584906,0.4754171777946532,0.4018617150639623,0.4054330740905239,0.4069925193232376,0.49056603773584906,0.490566037735849,0.4905660377358491,0.4835370268908535,0.48687890474117945,0.48835426093617124,0.2765419615773509,0.2805247721186545,0.0,8.0,12.0,6.0,1.0,13.0,4.0,9.0,46.0,23.0,31.0,32.0,6.0,9.0,6.0,6.0
LinearSVC,LSVM-33-2,0.02830188679245283,0.11320754716981132,0.012815948736205056,0.25,0.11320754716981132,0.11320754716981132,0.11320754716981132,0.25,0.05084745762711865,0.11320754716981132,0.023025263831148068,0.09740259740259741,0.14018691588785046,0.17114093959731544,0.11320754716981132,0.11320754716981132,0.11320754716981132,0.044106836559666754,0.06348086757185681,0.07749778396859566,0.0,0.0,6.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,36.0,35.0,41.0,0.0,17.0,18.0,12.0
LinearSVC,LSVM-34-2,0.4845330237358102,0.5471698113207547,0.538033763654419,0.485702614379085,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.485702614379085,0.4846106132870839,0.5471698113207547,0.5422558064067498,0.4851552690041534,0.4854112845625188,0.4855270267877526,0.5471698113207547,0.5471698113207547,0.5471698113207547,0.5451250116181802,0.5461344518513677,0.5465576549665292,0.3652694610778443,0.36545951957102246,1.0,8.0,13.0,7.0,4.0,9.0,6.0,5.0,43.0,27.0,29.0,36.0,5.0,9.0,5.0,5.0
LinearSVC,LSVM-35-2,0.02830188679245283,0.11320754716981132,0.012815948736205056,0.25,0.11320754716981132,0.11320754716981132,0.11320754716981132,0.25,0.05084745762711865,0.11320754716981132,0.023025263831148068,0.09740259740259741,0.14018691588785046,0.17114093959731544,0.11320754716981132,0.11320754716981132,0.11320754716981132,0.044106836559666754,0.06348086757185681,0.07749778396859566,0.0,0.0,6.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,36.0,35.0,41.0,0.0,17.0,18.0,12.0
LinearSVC,LSVM-36-2,0.4939075630252101,0.5094339622641509,0.519216743301094,0.505718954248366,0.5094339622641509,0.5094339622641509,0.5094339622641509,0.505718954248366,0.4965418094450353,0.5094339622641509,0.5112126258809156,0.5012170600787456,0.5033237432622041,0.5042744811096609,0.5094339622641509,0.509433962264151,0.5094339622641509,0.5093812186288852,0.5092769665222077,0.5093096115446359,0.32550171316691145,0.3271142404226127,3.0,7.0,11.0,6.0,4.0,7.0,6.0,9.0,43.0,29.0,29.0,32.0,3.0,10.0,7.0,6.0
LinearSVC,LSVM-37-2,0.08018867924528301,0.32075471698113206,0.10288358846564613,0.25,0.32075471698113206,0.32075471698113206,0.32075471698113206,0.25,0.12142857142857143,0.32075471698113206,0.1557951482479784,0.1756198347107438,0.20631067961165048,0.22230769230769232,0.320754716981132,0.320754716981132,0.32075471698113206,0.2253235615156713,0.26470049459607986,0.28522496371552974,0.0,0.0,0.0,17.0,0.0,0.0,0.0,36.0,0.0,0.0,47.0,0.0,35.0,41.0,6.0,0.0,18.0,12.0
LinearSVC,LSVM-38-2,0.5618620414673046,0.6037735849056604,0.5969892570190485,0.5351307189542484,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5351307189542484,0.5402794098446272,0.6037735849056604,0.5957179492864481,0.5359364231186265,0.5353548452276278,0.5352212032618553,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.599736603694071,0.6016309630045941,0.6024838403398162,0.43702579666160857,0.4393839382543342,1.0,9.0,14.0,8.0,2.0,11.0,5.0,3.0,45.0,25.0,30.0,38.0,5.0,8.0,4.0,4.0
LinearSVC,LSVM-39-2,0.08018867924528301,0.32075471698113206,0.10288358846564613,0.25,0.32075471698113206,0.32075471698113206,0.32075471698113206,0.25,0.12142857142857143,0.32075471698113206,0.1557951482479784,0.1756198347107438,0.20631067961165048,0.22230769230769232,0.320754716981132,0.320754716981132,0.32075471698113206,0.2253235615156713,0.26470049459607986,0.28522496371552974,0.0,0.0,0.0,17.0,0.0,0.0,0.0,36.0,0.0,0.0,47.0,0.0,35.0,41.0,6.0,0.0,18.0,12.0
LinearSVC,LSVM-40-2,0.5734649122807017,0.6226415094339622,0.6097318768619662,0.5559640522875817,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5559640522875817,0.5572447447447447,0.6226415094339622,0.6123576406595275,0.5554143334315749,0.5555437683570355,0.5556836668169318,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.6179314793498267,0.6202006103746855,0.6211857500818253,0.46518668012108977,0.46693606846542235,1.0,9.0,14.0,9.0,2.0,10.0,5.0,3.0,45.0,26.0,30.0,38.0,5.0,8.0,4.0,3.0
LinearSVC,LSVM-41-2,0.23460410557184752,0.4716981132075472,0.31013113484202953,0.3553921568627451,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.3553921568627451,0.28126635269492417,0.4716981132075472,0.3724218279474344,0.3209277238403452,0.33715766099185784,0.34440108331733943,0.4716981132075472,0.4716981132075472,0.4716981132075472,0.4254951049235716,0.44724383056575845,0.45695559823266857,0.2093766648907831,0.2369955008154939,0.0,10.0,15.0,0.0,0.0,12.0,16.0,0.0,47.0,24.0,19.0,41.0,6.0,7.0,3.0,12.0
LinearSVC,LSVM-42-2,0.46929541047188106,0.6037735849056604,0.5502799087704748,0.5134803921568627,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5134803921568627,0.48995475113122167,0.6037735849056604,0.5752104499274311,0.5036861915575326,0.5085155048335552,0.5105431042888384,0.6037735849056604,0.6037735849056604,0.6037735849056604,0.5918601518613492,0.5977305319880468,0.6001974810002725,0.43617021276595747,0.4392344945905264,0.0,8.0,15.0,9.0,2.0,9.0,6.0,4.0,45.0,27.0,29.0,37.0,6.0,9.0,3.0,3.0
LinearSVC,LSVM-43-2,0.2304900181488203,0.41509433962264153,0.3041810772865801,0.31290849673202614,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.31290849673202614,0.26329787234042556,0.41509433962264153,0.3482537133681253,0.29020143393649706,0.3009710215511993,0.3057335197892614,0.41509433962264153,0.41509433962264153,0.41509433962264153,0.3844766389456121,0.3989935422213748,0.40541585337642516,0.15046535677352635,0.1629462932735874,0.0,9.0,13.0,0.0,5.0,10.0,16.0,0.0,42.0,26.0,19.0,41.0,6.0,8.0,5.0,12.0
